Date,Open,High,Low,Close,Volume
01/28/2020,"219.60","221.96","219.06","221.45","26,731,881"
01/27/2020,"217.72","219.28","217.18","218.10","42,264,422"
01/24/2020,"225.62","225.88","221.67","222.70","37,436,480"
01/23/2020,"223.71","224.69","222.70","224.59","26,496,109"
01/22/2020,"224.38","225.15","223.59","223.87","20,736,400"
01/21/2020,"222.73","223.84","222.66","223.28","21,146,260"
01/17/2020,"223.24","223.56","222.12","223.38","24,325,170"
01/16/2020,"221.24","222.32","220.80","222.28","18,804,961"
01/15/2020,"220.18","221.20","219.45","220.17","25,742,080"
01/14/2020,"220.75","221.21","219.74","220.08","24,573,340"
01/13/2020,"219.31","220.98","218.98","220.95","22,846,100"
01/10/2020,"219.76","219.87","218.04","218.43","21,914,631"
01/09/2020,"218.91","219.41","217.71","218.99","23,641,289"
01/08/2020,"215.47","218.14","215.16","217.15","26,464,211"
01/07/2020,"215.64","216.14","214.85","215.53","23,120,990"
01/06/2020,"212.49","215.59","212.24","215.56","21,726,990"
01/03/2020,"213.29","215.47","213.28","214.18","27,532,660"
01/02/2020,"214.40","216.16","213.98","216.16","31,014,900"
12/31/2019,"211.62","212.76","211.20","212.61","18,201,590"
12/30/2019,"213.51","213.63","211.16","212.21","21,829,910"
12/27/2019,"214.55","214.56","213.04","213.61","18,142,240"
12/26/2019,"212.26","213.81","212.23","213.79","17,159,311"
12/24/2019,"211.97","212.09","211.44","211.92","7,089,020"
12/23/2019,"212.03","212.15","211.63","211.81","23,798,670"
12/20/2019,"211.81","212.52","211.27","211.71","27,690,930"
12/19/2019,"209.64","210.93","209.62","210.86","17,892,061"
12/18/2019,"209.60","210.13","209.33","209.55","15,490,830"
12/17/2019,"209.50","209.71","209.04","209.39","16,034,650"
12/16/2019,"208.50","209.53","208.48","209.27","21,366,180"
12/13/2019,"206.36","207.91","205.96","207.19","32,517,820"
12/12/2019,"204.77","207.32","204.49","206.51","32,704,631"
12/11/2019,"204.37","205.19","204.04","204.98","18,897,760"
12/10/2019,"204.17","204.88","203.44","203.90","21,849,711"
12/09/2019,"204.63","205.59","203.98","204.07","14,032,180"
12/06/2019,"204.25","205.15","204.15","205.00","16,562,250"
12/05/2019,"203.15","203.15","201.84","202.83","15,038,790"
12/04/2019,"202.49","202.91","202.14","202.43","15,336,750"
12/03/2019,"200.32","201.49","193.79","201.41","31,425,400"
12/02/2019,"205.11","205.18","201.78","203.00","28,121,020"
11/29/2019,"205.59","205.83","205.00","205.10","9,854,553"
11/27/2019,"205.13","206.05","204.89","206.04","17,060,230"
11/26/2019,"204.32","204.87","204.05","204.61","14,812,920"
11/25/2019,"202.67","204.26","202.67","204.22","17,794,721"
11/22/2019,"202.17","202.32","200.74","201.83","17,197,020"
11/21/2019,"201.94","202.07","201.07","201.70","17,934,350"
11/20/2019,"202.85","203.45","200.62","202.15","36,706,281"
11/19/2019,"203.84","203.84","202.59","203.37","16,997,570"
11/18/2019,"202.61","203.39","201.77","203.07","18,408,801"
11/15/2019,"202.61","202.91","202.00","202.91","18,434,520"
11/14/2019,"200.83","201.56","200.22","201.43","17,055,689"
11/13/2019,"200.84","201.78","200.71","201.59","16,110,340"
11/12/2019,"201.13","202.21","200.82","201.54","14,778,280"
11/11/2019,"200.23","201.04","199.94","200.96","10,187,220"
11/08/2019,"200.02","201.25","199.54","201.23","15,272,520"
11/07/2019,"200.76","201.72","199.85","200.43","17,832,359"
11/06/2019,"199.98","200.00","198.79","199.76","19,725,490"
11/05/2019,"200.35","200.55","199.55","200.21","15,048,860"
11/04/2019,"200.19","200.53","198.87","200.10","19,015,859"
11/01/2019,"197.93","198.88","197.63","198.87","22,131,881"
10/31/2019,"197.56","197.65","195.94","197.08","26,801,801"
10/30/2019,"196.42","197.32","195.29","196.99","21,764,311"
10/29/2019,"197.24","197.54","196.01","196.04","18,569,680"
10/28/2019,"196.57","197.83","196.55","197.57","18,842,301"
10/25/2019,"193.09","195.74","193.05","195.64","21,507,119"
10/24/2019,"193.62","194.21","192.74","194.09","19,264,221"
10/23/2019,"191.43","192.26","191.15","192.22","15,198,330"
10/22/2019,"194.06","194.42","191.79","191.85","22,988,990"
10/21/2019,"192.65","193.52","192.14","193.39","15,868,950"
10/18/2019,"193.26","193.67","190.71","191.69","27,719,070"
10/17/2019,"194.18","194.50","192.81","193.55","19,161,820"
10/16/2019,"192.88","193.53","192.43","193.04","20,689,211"
10/15/2019,"191.65","193.97","191.56","193.52","23,735,830"
10/14/2019,"190.82","191.70","190.65","191.09","15,372,770"
10/11/2019,"190.80","192.63","190.72","191.11","41,428,910"
10/10/2019,"187.25","189.43","187.12","188.68","26,693,779"
10/09/2019,"186.96","188.08","186.43","187.23","20,829,010"
10/08/2019,"187.01","187.86","185.27","185.42","33,201,941"
10/07/2019,"188.23","189.74","187.91","188.24","21,404,580"
10/04/2019,"186.99","189.08","186.88","188.81","32,752,670"
10/03/2019,"184.07","186.21","181.82","186.07","39,612,320"
10/02/2019,"186.01","187.20","183.02","184.05","48,931,980"
10/01/2019,"189.54","190.59","186.96","187.27","32,665,029"
09/30/2019,"187.75","189.11","187.40","188.81","26,559,840"
09/27/2019,"189.70","189.83","185.75","187.03","40,804,219"
09/26/2019,"189.87","190.00","187.98","189.38","27,030,029"
09/25/2019,"187.79","190.58","186.21","190.08","36,499,191"
09/24/2019,"191.37","191.79","187.15","187.97","41,096,609"
09/23/2019,"190.36","191.07","189.72","190.50","22,917,561"
09/20/2019,"193.11","193.31","190.16","190.80","30,131,529"
09/19/2019,"192.86","194.04","192.47","192.84","26,214,869"
09/18/2019,"192.20","192.60","190.11","192.52","31,173,061"
09/17/2019,"191.70","192.60","191.29","192.60","21,113,680"
09/16/2019,"191.30","192.08","191.11","191.68","20,318,990"
09/13/2019,"192.95","193.40","192.29","192.54","27,669,801"
09/12/2019,"193.64","194.71","192.97","193.23","28,689,881"
09/11/2019,"190.98","192.53","190.56","192.43","25,063,619"
09/10/2019,"190.19","190.74","188.91","190.64","23,744,689"
09/09/2019,"192.18","192.27","190.22","191.19","24,407,580"
09/06/2019,"192.03","192.17","191.17","191.59","19,487,820"
09/05/2019,"190.39","192.33","190.34","191.78","34,060,992"
09/04/2019,"187.43","188.49","186.90","188.33","21,676,340"
09/03/2019,"186.26","187.18","185.03","185.65","28,026,619"
08/30/2019,"188.94","188.97","186.41","187.47","26,332,750"
08/29/2019,"187.37","188.46","186.68","187.92","25,427,211"
08/28/2019,"183.84","185.40","182.91","185.09","21,848,789"
08/27/2019,"186.08","186.42","183.71","184.43","28,080,090"
08/26/2019,"184.19","184.87","183.08","184.82","27,689,840"
08/23/2019,"186.76","188.45","181.56","182.07","55,442,887"
08/22/2019,"188.98","189.46","186.54","188.02","24,270,520"
08/21/2019,"188.66","189.23","187.96","188.63","20,745,480"
08/20/2019,"188.00","188.64","186.92","186.97","19,939,551"
08/19/2019,"188.03","188.83","187.50","188.43","22,568,631"
08/16/2019,"184.11","185.95","184.10","185.48","34,785,008"
08/15/2019,"183.11","183.59","181.16","182.55","36,848,180"
08/14/2019,"185.31","185.95","182.42","182.76","51,000,551"
08/13/2019,"184.27","189.68","184.02","188.39","40,473,039"
08/12/2019,"185.34","185.90","183.50","184.35","24,642,869"
08/09/2019,"187.32","188.00","185.03","186.49","33,608,930"
08/08/2019,"185.15","188.32","184.57","188.26","38,418,078"
08/07/2019,"181.32","184.51","179.89","184.25","49,990,594"
08/06/2019,"182.38","183.80","181.07","183.26","41,897,246"
08/05/2019,"183.51","183.51","179.20","180.73","75,039,969"
08/02/2019,"188.82","188.99","186.21","187.35","55,214,008"
08/01/2019,"191.51","194.98","189.23","190.15","63,251,648"
07/31/2019,"194.31","194.43","189.32","191.10","41,627,473"
07/30/2019,"193.16","194.54","192.99","193.78","18,705,010"
07/29/2019,"195.18","195.18","193.39","194.62","20,451,650"
07/26/2019,"194.52","195.55","194.43","195.29","20,431,240"
07/25/2019,"194.48","194.52","192.93","193.30","23,434,740"
07/24/2019,"193.07","195.16","193.03","195.15","20,422,869"
07/23/2019,"193.58","193.81","192.29","193.79","23,786,730"
07/22/2019,"191.50","192.94","191.44","192.53","18,953,600"
07/19/2019,"193.82","193.83","190.81","191.01","29,387,949"
07/18/2019,"191.30","192.79","190.69","192.42","29,066,340"
07/17/2019,"193.20","193.49","192.18","192.20","16,765,070"
07/16/2019,"193.86","194.09","192.56","193.15","20,190,891"
07/15/2019,"193.97","194.19","193.44","194.15","15,606,070"
07/12/2019,"192.63","193.54","192.45","193.53","20,211,881"
07/11/2019,"192.88","193.34","191.81","192.42","23,736,119"
07/10/2019,"191.79","193.09","191.47","192.56","28,374,510"
07/09/2019,"188.79","190.90","188.65","190.66","19,193,500"
07/08/2019,"189.86","189.87","188.93","189.71","17,598,830"
07/05/2019,"190.15","191.40","189.39","191.05","21,415,619"
07/03/2019,"190.45","191.44","190.29","191.44","15,792,070"
07/02/2019,"189.19","190.03","188.66","190.01","18,035,770"
07/01/2019,"190.30","190.57","188.38","189.26","31,193,391"
06/28/2019,"186.95","187.15","186.07","186.74","21,179,250"
06/27/2019,"186.47","186.94","185.99","186.50","19,709,230"
06/26/2019,"186.13","187.33","185.49","185.79","22,595,721"
06/25/2019,"188.06","188.14","184.65","184.93","33,921,113"
06/24/2019,"188.52","188.72","188.06","188.16","19,375,211"
06/21/2019,"188.57","189.77","188.17","188.57","39,980,422"
06/20/2019,"189.72","189.76","187.16","188.85","40,921,961"
06/19/2019,"186.73","187.53","185.57","187.11","31,672,859"
06/18/2019,"185.88","187.72","185.43","186.41","48,177,301"
06/17/2019,"183.01","184.25","182.84","183.74","20,379,480"
06/14/2019,"182.44","183.11","181.94","182.64","22,844,090"
06/13/2019,"183.12","183.87","182.74","183.42","23,715,830"
06/12/2019,"182.88","183.28","182.00","182.34","27,758,119"
06/11/2019,"185.07","185.40","182.78","183.40","41,260,320"
06/10/2019,"182.23","184.85","182.21","183.15","41,385,281"
06/07/2019,"178.50","181.77","178.33","181.04","45,888,352"
06/06/2019,"176.52","178.04","175.73","177.61","29,913,211"
06/05/2019,"176.60","176.61","174.38","176.21","34,412,699"
06/04/2019,"171.98","174.97","171.37","174.91","47,797,848"
06/03/2019,"173.52","173.95","169.27","170.12","75,842,289"
05/31/2019,"174.71","175.29","173.87","173.95","45,446,207"
05/30/2019,"176.54","177.27","175.77","176.77","30,354,789"
05/29/2019,"176.45","177.00","175.09","176.03","42,178,770"
05/28/2019,"178.67","179.66","177.47","177.49","24,763,820"
05/24/2019,"179.30","179.85","177.94","178.16","25,903,270"
05/23/2019,"179.00","179.02","177.14","178.25","45,351,312"
05/22/2019,"180.81","182.07","180.75","181.02","24,332,551"
05/21/2019,"181.50","182.33","180.92","181.83","31,613,789"
05/20/2019,"180.51","181.18","179.34","179.95","38,608,289"
05/17/2019,"183.10","185.58","182.88","183.04","44,702,281"
05/16/2019,"183.11","186.07","182.95","184.93","39,281,160"
05/15/2019,"179.39","183.55","179.31","183.09","40,944,551"
05/14/2019,"179.51","181.63","178.86","180.54","43,360,641"
05/13/2019,"180.30","181.26","178.06","178.58","67,185,766"
05/10/2019,"184.06","185.89","181.03","185.00","58,526,398"
05/09/2019,"183.76","185.41","182.09","184.77","55,351,672"
05/08/2019,"185.68","187.17","184.96","185.77","37,165,320"
05/07/2019,"187.86","188.67","184.51","186.24","58,818,129"
05/06/2019,"187.10","190.20","186.76","189.94","38,371,781"
05/03/2019,"189.69","191.25","189.33","191.11","30,386,180"
05/02/2019,"188.88","189.85","186.87","188.11","44,110,121"
05/01/2019,"190.76","191.32","188.80","188.93","34,797,113"
04/30/2019,"189.48","189.85","188.21","189.54","31,495,279"
04/29/2019,"190.62","191.32","190.34","191.02","21,716,240"
04/26/2019,"190.20","190.69","188.59","190.65","26,359,539"
04/25/2019,"191.15","191.22","189.45","190.48","29,517,500"
04/24/2019,"190.44","190.71","189.65","189.71","24,977,109"
04/23/2019,"188.37","190.54","188.13","190.31","33,665,559"
04/22/2019,"186.54","187.99","186.43","187.92","17,936,029"
04/18/2019,"187.48","187.79","186.29","187.39","28,580,859"
04/17/2019,"187.75","187.93","186.60","187.15","29,651,580"
04/16/2019,"186.51","186.91","185.93","186.50","27,195,711"
04/15/2019,"185.81","186.07","184.62","185.86","21,073,051"
04/12/2019,"185.86","185.95","185.06","185.83","24,989,141"
04/11/2019,"185.77","185.78","184.69","185.03","20,654,090"
04/10/2019,"184.75","185.53","184.52","185.47","24,562,961"
04/09/2019,"184.50","185.11","184.09","184.48","25,631,891"
04/08/2019,"184.37","185.28","183.63","185.13","22,697,539"
04/05/2019,"184.30","184.77","184.02","184.66","25,674,660"
04/04/2019,"183.81","184.50","182.65","183.71","28,530,830"
04/03/2019,"183.74","184.92","183.21","183.78","31,633,480"
04/02/2019,"182.23","182.91","181.78","182.73","22,645,150"
04/01/2019,"181.42","182.26","180.77","182.04","30,969,471"
03/29/2019,"179.63","179.83","178.59","179.66","35,205,512"
03/28/2019,"178.36","178.98","177.24","178.31","30,368,240"
03/27/2019,"179.27","179.72","176.60","177.90","37,096,699"
03/26/2019,"179.58","180.69","178.14","179.05","33,248,121"
03/25/2019,"177.92","178.84","176.93","178.22","46,336,520"
03/22/2019,"181.76","182.27","178.37","178.56","70,794,547"
03/21/2019,"179.24","182.83","179.20","182.57","42,428,480"
03/20/2019,"179.06","180.86","178.24","179.76","50,105,000"
03/19/2019,"179.16","180.00","178.29","179.05","36,893,340"
03/18/2019,"177.95","178.99","177.59","178.45","32,935,129"
03/15/2019,"177.43","178.88","177.28","178.35","38,191,961"
03/14/2019,"177.12","177.34","176.66","176.71","23,751,480"
03/13/2019,"176.60","177.93","176.35","177.01","42,426,141"
03/12/2019,"175.17","176.14","174.77","175.69","33,953,500"
03/11/2019,"171.86","174.85","171.85","174.73","30,518,410"
03/08/2019,"169.51","171.26","169.34","171.17","39,303,230"
03/07/2019,"173.09","173.18","170.79","171.43","39,407,441"
03/06/2019,"174.68","174.75","173.28","173.56","27,194,580"
03/05/2019,"174.52","175.09","173.69","174.55","22,319,859"
03/04/2019,"175.37","175.79","172.47","174.42","38,063,461"
03/01/2019,"174.41","174.65","173.18","174.39","31,431,160"
02/28/2019,"173.04","173.81","172.70","173.19","25,085,471"
02/27/2019,"172.92","173.80","171.76","173.59","25,162,010"
02/26/2019,"173.04","174.25","172.81","173.70","21,939,721"
02/25/2019,"174.20","174.66","173.40","173.52","32,608,750"
02/22/2019,"171.98","173.01","171.90","172.89","27,735,359"
02/21/2019,"171.77","172.26","170.71","171.62","25,207,400"
02/20/2019,"172.43","173.08","171.32","172.25","32,593,000"
02/19/2019,"171.39","172.80","171.38","172.28","19,487,680"
02/15/2019,"172.51","172.56","171.14","171.94","32,521,689"
02/14/2019,"170.38","171.83","169.83","171.22","30,326,830"
02/13/2019,"171.62","172.16","170.82","171.01","26,094,141"
02/12/2019,"169.59","171.14","169.33","170.89","29,722,070"
02/11/2019,"169.14","169.58","167.98","168.40","21,434,090"
02/08/2019,"166.73","168.59","166.57","168.56","29,020,750"
02/07/2019,"169.03","169.45","166.95","168.23","42,036,191"
02/06/2019,"171.06","171.37","169.75","170.52","27,970,010"
02/05/2019,"169.75","171.23","169.69","171.03","28,156,369"
02/04/2019,"167.51","169.53","167.33","169.53","26,718,779"
02/01/2019,"167.37","168.60","166.99","167.45","32,143,670"
01/31/2019,"166.65","168.99","166.47","168.16","37,258,359"
01/30/2019,"163.39","166.28","162.89","165.68","41,346,527"
01/29/2019,"163.20","163.24","160.99","161.57","30,784,180"
01/28/2019,"163.03","163.12","161.75","163.11","33,491,219"
01/25/2019,"164.48","165.65","163.95","165.15","36,466,070"
01/24/2019,"162.66","163.44","162.06","163.20","32,413,350"
01/23/2019,"162.77","163.51","160.32","162.15","38,106,059"
01/22/2019,"164.05","164.14","160.76","161.94","56,711,688"
01/18/2019,"164.84","166.02","163.82","165.25","57,183,238"
01/17/2019,"161.84","164.36","161.57","163.63","39,328,961"
01/16/2019,"162.63","163.78","162.29","162.35","33,812,191"
01/15/2019,"159.97","162.60","159.91","162.38","40,874,219"
01/14/2019,"159.32","159.96","158.59","159.27","30,710,230"
01/11/2019,"160.32","160.86","159.79","160.69","30,176,641"
01/10/2019,"159.59","161.37","158.70","161.28","38,943,406"
01/09/2019,"160.15","161.52","159.47","160.82","46,491,754"
01/08/2019,"159.56","160.11","157.20","159.52","49,388,688"
01/07/2019,"156.54","158.86","156.11","158.09","52,059,328"
01/04/2019,"152.18","157.00","151.74","156.23","74,709,320"
01/03/2019,"152.60","153.26","149.49","149.82","74,820,234"
01/02/2019,"150.99","155.75","150.88","154.88","58,576,672"
12/31/2018,"154.47","154.98","152.71","154.26","53,015,312"
12/28/2018,"154.01","155.59","151.72","152.97","77,856,633"
12/27/2018,"150.57","153.18","147.08","153.05","85,824,336"
12/26/2018,"145.12","152.54","144.09","152.46","98,982,062"
12/24/2018,"146.14","147.98","143.46","143.50","56,163,289"
12/21/2018,"153.06","154.09","146.72","147.57","141,129,406"
12/20/2018,"154.16","155.87","150.39","152.29","99,002,141"
12/19/2018,"158.24","160.72","153.34","154.53","81,856,461"
12/18/2018,"158.67","159.95","157.04","158.42","63,642,121"
12/17/2018,"160.41","161.67","156.17","157.43","74,834,078"
12/14/2018,"163.19","163.81","160.70","161.08","56,547,422"
12/13/2018,"166.06","166.82","164.03","165.10","46,377,859"
12/12/2018,"166.06","167.60","164.96","165.05","53,779,992"
12/11/2018,"165.66","165.77","162.23","163.61","59,058,301"
12/10/2018,"161.11","163.78","159.41","163.07","73,960,758"
12/07/2018,"166.13","167.12","160.86","161.38","80,432,180"
12/06/2018,"162.46","166.91","161.77","166.89","71,715,531"
12/04/2018,"171.38","171.91","165.52","165.72","70,594,734"
12/03/2018,"173.10","173.31","169.51","172.33","50,771,699"
11/30/2018,"168.38","169.47","167.54","169.37","36,722,762"
11/29/2018,"168.00","169.26","166.82","168.15","44,885,711"
11/28/2018,"164.62","168.70","163.47","168.70","70,140,992"
11/27/2018,"162.00","163.85","161.18","163.44","36,608,059"
11/26/2018,"161.44","162.97","160.76","162.89","42,012,633"
11/23/2018,"159.09","160.84","159.09","159.21","23,503,730"
11/21/2018,"161.29","161.97","159.23","160.37","42,965,840"
11/20/2018,"158.37","161.38","157.13","159.16","102,652,797"
11/19/2018,"166.74","166.90","161.54","162.06","67,280,477"
11/16/2018,"166.49","168.31","165.78","167.50","65,390,680"
11/15/2018,"164.84","168.54","163.46","168.09","73,254,352"
11/14/2018,"168.09","168.70","164.25","165.20","75,270,711"
11/13/2018,"167.15","169.48","166.00","166.47","64,128,078"
11/12/2018,"170.33","170.64","166.18","166.33","62,578,367"
11/09/2018,"172.83","173.25","170.16","171.52","50,602,711"
11/08/2018,"174.76","175.30","173.63","174.46","40,296,539"
11/07/2018,"172.25","175.58","171.87","175.58","51,169,609"
11/06/2018,"168.93","171.19","168.72","170.24","34,410,391"
11/05/2018,"169.61","169.66","167.08","168.96","39,573,527"
11/02/2018,"171.53","172.55","168.22","169.38","75,966,781"
11/01/2018,"170.08","172.24","168.78","172.06","52,706,820"
10/31/2018,"168.55","171.25","168.54","169.82","73,828,641"
10/30/2018,"162.80","166.04","162.02","165.92","92,583,969"
10/29/2018,"169.16","169.86","160.09","163.23","111,871,906"
10/26/2018,"165.24","169.96","164.23","166.66","130,970,898"
10/25/2018,"167.99","172.08","167.16","171.06","83,481,070"
10/24/2018,"173.12","173.36","165.04","165.34","102,997,398"
10/23/2018,"170.79","174.13","168.82","173.27","77,566,969"
10/22/2018,"174.06","175.25","172.59","173.91","52,909,281"
10/19/2018,"174.39","176.07","172.39","173.02","82,923,727"
10/18/2018,"176.60","176.68","172.44","173.18","82,486,211"
10/17/2018,"178.14","178.26","175.47","177.29","66,987,641"
10/16/2018,"174.02","177.65","173.70","177.22","71,979,688"
10/15/2018,"173.69","174.04","171.56","172.21","64,885,262"
10/12/2018,"173.99","174.86","170.93","174.32","102,078,398"
10/11/2018,"171.04","173.40","167.81","169.60","143,084,500"
10/10/2018,"178.53","178.62","171.50","171.73","114,471,102"
10/09/2018,"179.20","181.02","178.75","179.63","49,097,953"
10/08/2018,"179.37","180.64","176.93","179.05","66,864,477"
10/05/2018,"182.39","182.97","178.43","180.15","83,325,633"
10/04/2018,"185.22","185.32","181.06","182.38","80,557,281"
10/03/2018,"186.52","186.97","185.66","185.95","29,128,680"
10/02/2018,"185.95","187.18","185.32","185.75","25,618,609"
10/01/2018,"186.82","187.53","185.70","186.17","27,371,301"
09/28/2018,"185.25","186.28","184.97","185.79","28,076,840"
09/27/2018,"185.04","186.49","184.92","185.83","33,113,270"
09/26/2018,"184.25","185.99","183.91","184.27","36,210,566"
09/25/2018,"183.78","184.28","183.18","184.14","25,277,520"
09/24/2018,"182.05","183.96","181.30","183.89","34,945,602"
09/21/2018,"185.27","185.48","183.48","183.71","38,605,352"
09/20/2018,"183.95","184.97","183.52","184.72","33,295,820"
09/19/2018,"182.86","183.30","181.51","182.70","31,843,381"
09/18/2018,"181.52","183.73","181.40","182.84","31,877,350"
09/17/2018,"183.66","183.81","181.17","181.34","33,071,199"
09/14/2018,"184.66","184.95","183.26","183.99","31,224,131"
09/13/2018,"183.67","184.88","183.64","184.53","31,133,189"
09/12/2018,"182.87","182.98","181.01","182.58","36,203,969"
09/11/2018,"180.97","183.42","180.52","183.12","30,116,461"
09/10/2018,"182.12","182.25","180.73","181.72","26,131,980"
09/07/2018,"180.53","182.67","180.44","181.11","46,629,500"
09/06/2018,"183.54","183.75","180.58","181.81","46,091,398"
09/05/2018,"185.55","185.55","182.82","183.45","42,623,328"
09/04/2018,"186.10","186.40","184.85","185.85","29,063,539"
08/31/2018,"186.18","187.18","185.98","186.65","28,653,250"
08/30/2018,"186.41","187.52","185.79","186.41","29,315,449"
08/29/2018,"184.91","186.84","184.86","186.74","29,175,590"
08/28/2018,"184.80","185.02","184.22","184.61","20,277,039"
08/27/2018,"183.43","184.34","183.11","184.34","29,343,551"
