Date,Open,High,Low,Close,Volume
08/25/2023,"438.68","441.30","435.00","439.97","102,325,102"
08/24/2023,"444.69","445.22","436.86","436.89","88,517,273"
08/23/2023,"439.25","443.67","439.10","443.03","68,441,023"
08/22/2023,"441.18","441.18","437.57","438.15","65,062,859"
08/21/2023,"437.55","440.11","435.32","439.34","68,718,961"
08/18/2023,"433.37","437.57","433.01","436.50","98,851,961"
08/17/2023,"441.16","441.43","435.75","436.29","95,711,320"
08/16/2023,"442.46","444.18","439.53","439.64","80,107,211"
08/15/2023,"446.27","446.64","442.30","442.89","75,707,531"
08/14/2023,"444.70","448.11","444.38","448.11","47,867,441"
08/11/2023,"443.97","446.70","443.35","445.65","68,690,898"
08/10/2023,"448.19","451.70","444.70","445.91","93,005,508"
08/09/2023,"449.03","449.20","444.96","445.75","78,789,586"
08/08/2023,"448.08","450.70","445.27","448.75","71,361,320"
08/07/2023,"448.71","450.87","447.99","450.71","58,357,461"
08/04/2023,"450.72","452.90","446.27","446.81","100,128,898"
08/03/2023,"448.04","450.79","447.37","448.84","64,419,688"
08/02/2023,"453.25","453.52","449.35","450.13","93,933,367"
08/01/2023,"456.27","457.25","455.49","456.48","55,502,199"
07/31/2023,"457.41","458.16","456.05","457.79","62,040,449"
07/28/2023,"455.88","457.78","452.49","456.92","80,011,789"
07/27/2023,"459.02","459.44","451.55","452.49","92,194,383"
07/26/2023,"454.47","456.99","453.38","455.51","71,052,891"
07/25/2023,"453.92","456.74","453.87","455.44","55,191,238"
07/24/2023,"453.37","455.04","452.30","454.20","54,023,379"
07/21/2023,"453.96","454.17","452.17","452.18","71,275,617"
07/20/2023,"454.17","455.10","451.44","452.18","70,591,641"
07/19/2023,"455.01","456.43","454.11","455.20","65,891,688"
07/18/2023,"450.50","454.86","450.05","454.19","80,744,445"
07/17/2023,"449.13","451.93","449.08","450.84","52,680,219"
07/14/2023,"450.48","451.36","448.49","449.28","69,815,820"
07/13/2023,"447.90","450.38","447.45","449.56","72,425,242"
07/12/2023,"446.39","447.48","444.91","446.02","91,924,531"
07/11/2023,"440.45","442.97","439.44","442.46","64,463,754"
07/10/2023,"438.18","439.84","437.59","439.66","62,443,500"
07/07/2023,"438.63","442.64","438.30","438.55","86,134,180"
07/06/2023,"439.42","440.10","437.06","439.66","80,658,305"
07/05/2023,"441.91","443.89","441.90","443.13","58,418,434"
07/03/2023,"442.92","444.08","442.63","443.79","32,793,379"
06/30/2023,"441.44","444.30","441.11","443.28","104,964,000"
06/29/2023,"435.96","438.28","435.54","438.11","67,882,305"
06/28/2023,"435.05","437.44","434.41","436.39","75,635,984"
06/27/2023,"432.35","436.81","431.88","436.17","72,813,695"
06/26/2023,"432.62","434.61","431.19","431.44","72,823,562"
06/23/2023,"432.93","435.06","432.47","433.21","92,074,547"
06/22/2023,"433.95","436.62","433.60","436.51","70,637,188"
06/21/2023,"436.16","436.99","434.33","434.94","76,982,250"
06/20/2023,"437.45","438.37","435.03","437.18","76,160,359"
06/16/2023,"443.02","443.61","438.97","439.46","114,165,797"
06/15/2023,"436.33","443.90","436.23","442.60","110,303,102"
06/14/2023,"437.01","439.06","433.59","437.18","100,612,094"
06/13/2023,"435.32","437.33","434.63","436.66","95,899,695"
06/12/2023,"430.92","433.88","430.17","433.80","76,256,703"
06/09/2023,"429.96","431.99","428.87","429.90","85,647,273"
06/08/2023,"426.62","429.60","425.82","429.13","61,952,840"
06/07/2023,"428.44","429.62","426.11","426.55","85,373,281"
06/06/2023,"426.67","428.58","425.99","428.03","64,022,180"
06/05/2023,"428.28","429.67","426.37","427.10","70,316,039"
06/02/2023,"424.50","428.74","423.95","427.92","91,426,172"
06/01/2023,"418.09","422.92","416.79","421.82","88,865,023"
05/31/2023,"418.28","419.22","416.22","417.85","110,811,797"
05/30/2023,"422.03","422.58","418.74","420.18","72,215,961"
05/26/2023,"415.33","420.77","415.25","420.02","93,829,984"
05/25/2023,"414.74","416.16","412.41","414.65","90,961,609"
05/24/2023,"412.42","412.82","409.88","411.09","89,213,680"
05/23/2023,"417.08","418.72","413.68","414.09","86,383,484"
05/22/2023,"418.64","420.39","417.35","418.79","60,745,398"
05/19/2023,"420.17","420.72","417.35","418.62","103,793,297"
05/18/2023,"414.90","419.67","414.67","419.23","97,177,203"
05/17/2023,"412.35","415.86","410.64","415.23","87,286,961"
05/16/2023,"411.86","412.82","410.24","410.25","57,705,500"
05/15/2023,"412.22","413.43","410.23","413.01","54,289,379"
05/12/2023,"413.42","413.64","409.07","411.59","70,481,555"
05/11/2023,"411.95","412.43","409.97","412.13","70,157,055"
05/10/2023,"413.88","414.54","408.87","412.85","96,142,922"
05/09/2023,"411.13","412.09","410.69","410.93","49,220,121"
05/08/2023,"412.97","413.24","411.28","412.74","50,046,770"
05/05/2023,"408.91","413.72","408.64","412.63","87,891,789"
05/04/2023,"406.93","407.27","403.74","405.13","94,901,859"
05/03/2023,"411.36","413.87","407.77","408.02","91,531,766"
05/02/2023,"414.77","414.82","407.82","410.84","103,998,492"
05/01/2023,"415.47","417.62","415.27","415.51","62,122,246"
04/28/2023,"411.49","415.94","411.43","415.93","89,433,133"
04/27/2023,"407.00","412.69","406.74","412.41","92,968,367"
04/26/2023,"406.72","407.84","403.78","404.36","80,447,047"
04/25/2023,"410.58","411.16","406.02","406.08","97,766,719"
04/24/2023,"411.99","413.07","410.60","412.63","64,332,102"
04/21/2023,"412.19","412.68","410.17","412.20","73,457,422"
04/20/2023,"411.21","413.70","410.27","411.88","75,840,359"
04/19/2023,"412.22","415.08","412.16","414.14","55,227,328"
04/18/2023,"415.58","415.72","412.78","414.21","63,560,000"
04/17/2023,"412.37","413.96","411.09","413.94","66,436,398"
04/14/2023,"412.81","415.09","410.06","412.46","78,161,508"
04/13/2023,"409.18","413.84","407.99","413.47","85,814,750"
04/12/2023,"411.87","412.17","407.44","408.05","86,420,383"
04/11/2023,"410.26","411.18","408.92","409.72","59,297,953"
04/10/2023,"406.61","409.69","405.97","409.61","63,681,039"
04/06/2023,"406.77","409.48","405.68","409.19","63,743,352"
04/05/2023,"407.91","408.70","405.88","407.60","65,200,238"
04/04/2023,"411.62","411.92","407.24","408.67","66,601,531"
04/03/2023,"408.85","411.37","408.44","410.95","67,391,102"
03/31/2023,"404.66","409.70","404.55","409.39","112,062,602"
03/30/2023,"404.09","404.35","401.76","403.70","69,840,047"
03/29/2023,"399.93","401.60","398.68","401.35","77,497,883"
03/28/2023,"395.77","396.49","393.69","395.60","62,871,680"
03/27/2023,"398.12","398.92","395.56","396.49","74,010,406"
03/24/2023,"391.84","395.84","389.40","395.75","107,770,094"
03/23/2023,"395.09","399.29","390.35","393.17","119,351,297"
03/22/2023,"398.73","402.49","392.07","392.11","111,746,602"
03/21/2023,"397.24","399.41","395.58","398.91","91,524,250"
03/20/2023,"390.80","394.17","390.07","393.74","93,055,773"
03/17/2023,"393.22","394.40","388.55","389.99","140,553,406"
03/16/2023,"386.82","396.47","386.29","396.11","143,753,906"
03/15/2023,"385.89","389.49","383.71","389.28","172,996,891"
03/14/2023,"390.50","393.45","387.05","391.73","149,752,406"
03/13/2023,"381.81","390.39","380.65","385.36","157,790,000"
03/10/2023,"390.99","393.16","384.32","385.91","189,252,984"
03/09/2023,"399.74","401.48","390.53","391.56","111,945,297"
03/08/2023,"398.39","399.71","396.59","398.92","74,746,633"
03/07/2023,"404.42","404.67","397.63","398.27","108,310,602"
03/06/2023,"405.05","407.45","404.01","404.47","72,795,953"
03/03/2023,"399.71","404.45","399.03","404.19","90,119,953"
03/02/2023,"392.68","398.69","392.33","397.81","85,404,727"
03/01/2023,"395.41","396.69","393.38","394.74","99,706,812"
02/28/2023,"397.23","399.28","396.15","396.26","96,438,570"
02/27/2023,"399.87","401.29","396.75","397.73","80,444,734"
02/24/2023,"395.42","397.25","393.64","396.38","108,194,398"
02/23/2023,"401.56","402.20","396.25","400.66","96,242,398"
02/22/2023,"399.52","401.13","397.02","398.54","83,742,289"
02/21/2023,"403.06","404.16","398.82","399.09","82,655,922"
02/17/2023,"406.06","407.51","404.05","407.26","89,257,820"
02/16/2023,"408.79","412.91","408.14","408.28","76,431,469"
02/15/2023,"410.35","414.06","409.47","413.98","61,685,281"
02/14/2023,"411.24","415.05","408.51","412.64","88,389,312"
02/13/2023,"408.72","412.97","408.24","412.83","64,913,539"
02/10/2023,"405.86","408.44","405.01","408.04","70,769,719"
02/09/2023,"414.41","414.57","405.81","407.09","78,694,867"
02/08/2023,"413.13","414.53","409.93","410.65","76,227,453"
